book_id,title,authors,average_rating,ratings_count,publication_date
201,"Una arruga en el tiempo – A Wrinkle in Time","Madeleine L'Engle",4.0,6,1984-06-01
204,"The Long Shadow (The Morland Dynasty #6)","Cynthia Harrod-Eagles",4.12,376,1994-06-01
205,"A Long Shadow (Inspector Ian Rutledge #8)","Charles Todd",4.11,3086,2006-01-03
207,"Long Way Round: Chasing Shadows Across the World","Ewan McGregor/Charley Boorman/Robert Uhlig",3.94,352,2005-11-01
208,"A Shadow in Summer (Long Price Quartet #1)","Daniel Abraham",3.6,9852,2006-03-07
213,"New Hope for the Dead (Hoke Mosely #2)","Charles Willeford/James Lee Burke",3.9,821,2004-08-10
214,"Sideswipe: A Hoke Moseley Novel","Charles Willeford/Lawrence Block",4.05,731,2005-03-08
216,"Miami Blues (Hoke Moseley #1)","Charles Willeford/Elmore Leonard",3.94,2897,2004-08-10
230,"The Burnt Orange Heresy (Vintage Crime/Black Lizard)","Charles Willeford",3.89,98,1990-10-03
231,"I am Charlotte Simmons","Tom Wolfe",3.42,20888,2005-08-30
237,"Poetry for Young People: Edward Lear","Edward Lear/Laura Huliska-Beith/Edward Mendelson",3.91,66,2001-10-01
244,"The Puffin Book of Nonsense Verse","Quentin Blake",4.02,81,1996-10-03
245,"Henry Miller on Writing","Henry Miller/Thomas H. Moore",4.22,981,1964-02-01
247,"Quiet Days in Clichy","Henry Miller",3.69,3381,1994-01-13
249,"Tropic of Cancer","Henry Miller/Jiří Níl",3.68,53206,1994-01-06
250,"Tropic of Capricorn","Henry Miller",3.78,14872,1994-01-13
251,"Nexus (The Rosy Crucifixion #3)","Henry Miller",4.1,3261,1994-01-13
252,"Sexus (The Rosy Crucifixion #1)","Henry Miller",3.98,7805,1994-01-12
253,"The Air-Conditioned Nightmare","Henry Miller",3.83,2699,1970-01-17
264,"The Portrait of a Lady","Henry James/Patricia Crick",3.78,61640,2003-09-30
269,"The Portrait of a Lady","Henry James/Gabriel Brownstein/Mary Cregan",3.78,392,2004-01-16
277,Writing,"Marguerite Duras",3.75,778,1999-05-06
278,"The War","Marguerite Duras/Barbara Bray",3.85,963,1994-08-01
280,"The Ravishing of Lol Stein","Marguerite Duras/Richard Seever",3.66,2057,1986-03-12
285,"Love Letters","Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari",3.68,203,1999-07-01
288,"Kahlil Gibran: His Life and World","Jean Gibran/جبران خليل جبران/Kahlil Gibran",4.21,35,1998-04-01
289,"The Beloved: Reflections on the Path of the Heart","Kahlil Gibran/John Walbridge/Robin Waterfield",4.19,328,1998-01-01
290,"Jesus the Son of Man","Kahlil Gibran/جبران خليل جبران",3.98,1308,1995-02-21
291,"The Broken Wings","Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris",3.92,6432,2003-03-03
292,"Sand and Foam","Kahlil Gibran/جبران خليل جبران",4.08,3015,2011-06-14
295,"Treasure Island","Robert Louis Stevenson",3.83,318753,2001-09-15
296,"Treasure Island","Robert Louis Stevenson/Scott McKowen",3.83,420,2004-10-01
297,"Treasure Island","Robert Louis Stevenson",3.83,5967,2005-06-01
298,"Treasure Island","Robert Louis Stevenson/N.C. Wyeth/Timothy Meis",3.83,104,2003-07-01
299,"Treasure Island","Robert Louis Stevenson/Milo Winter",3.83,56,2002-09-03
302,"Treasure Island (Great Illustrated Classics)","Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson",4.05,91,2006-01-31
313,"100 Years of Lynchings","Ralph Ginzburg",4.61,88,1996-11-22
324,"Cien años de soledad","Gabriel García Márquez",4.07,63,1990-01-01
330,"On Beyond Zebra!","Dr. Seuss",4.04,2815,1955-09-12
332,"The Wedding Clause","Debbie Raleigh",3.6,95,2005-06-07
333,"The Zebra Wall","Kevin Henkes",3.44,217,2005-02-15
337,"El perfume: Historia de un asesino","Patrick Süskind",4.02,4136,2002-06-01
348,"The Door Into Summer","Robert A. Heinlein",4.01,17232,1997-06-17
350,"Stranger in a Strange Land","Robert A. Heinlein",3.92,251872,1991-10-01
354,"To Sail Beyond the Sunset","Robert A. Heinlein",3.87,10293,1988-06-01
355,"Job: A Comedy of Justice","Robert A. Heinlein",3.78,15970,1985-10-12
356,"Time for the Stars (Heinlein's Juveniles #10)","Robert A. Heinlein",3.97,6898,2006-08-08
357,"The Long Dark Tea-Time of the Soul (Dirk Gently #2)","Douglas Adams",4.06,67803,1991-02-15
359,"The Salmon of Doubt (Dirk Gently #3)","Douglas Adams",3.93,22091,2005-04-26
362,"Wish You Were Here: The Official Biography of Douglas Adams","Nick Webb",4.14,2623,2005-12-27
367,"Douglas Adams's Starship Titanic","Terry Jones",3.6,885,1998-10-27
377,"Salmon of Doubt: Hitchhiking the Galaxy One Last Time","Douglas Adams/Christopher Cerf",3.93,5,2003-07-01
382,"The Phantom Tollbooth: A Children's Play in Two Acts","Susan Nanus/Norton Juster",4.13,100,2011-01-12
385,"On Bullshit","Harry G. Frankfurt",3.57,9358,2005-01-30
386,"Another Bullshit Night in Suck City","Nick Flynn",3.78,9318,2005-09-12
394,"Lincoln at Gettysburg: The Words That Remade America","Garry Wills",4.14,120,1993-06-12
397,"The Gettysburg Address","Abraham Lincoln/Michael McCurdy",4.53,5239,1998-02-02
399,Underworld,"Don DeLillo",3.92,1505,1998-07-09
400,Libra,"Don DeLillo",3.99,11857,1991-05-01
403,Americana,"Don DeLillo",3.43,393,1989-07-06
404,"Running Dog","Don DeLillo",3.43,1356,1989-07-17
406,Cosmopolis,"Don DeLillo",3.22,460,2004-04-06
407,"Great Jones Street","Don DeLillo",3.48,2492,1994-01-01
408,"The Names","Don DeLillo",3.64,3100,1989-07-17
409,"Against the Day","Thomas Pynchon",4.13,5296,2006-11-21
410,V.,"Thomas Pynchon",3.96,1415,2005-07-05
411,"The Crying of Lot 49","Thomas Pynchon",3.69,2161,1999-04-01
412,"Gravity's Rainbow","Thomas Pynchon",4.01,762,2000-01-01
413,"Mason & Dixon","Thomas Pynchon/Christophe Claro/Brice Matthieussent",4.07,8086,2004-01-03
414,Vineland,"Thomas Pynchon",3.69,702,1997-09-01
415,"Gravity's Rainbow","Thomas Pynchon",4.01,29764,2006-10-31
416,"Slow Learner: Early Stories","Thomas Pynchon",3.5,334,1985-04-30
418,"Been Down So Long It Looks Like Up To Me","Richard Fariña/Thomas Pynchon",3.8,2473,1996-08-29
420,"The Year of Magical Thinking","Joan Didion",3.89,2656,2005-10-04
421,"The White Album","Joan Didion",4.17,11889,1990-10-01
422,"A Book of Common Prayer","Joan Didion",3.8,2962,1995-04-11
423,"Where I Was From","Joan Didion",3.86,2842,2004-09-14
424,"Slouching Towards Bethlehem","Joan Didion",4.21,26934,1990-10-01
425,Democracy,"Joan Didion",3.81,2070,1995-04-25
426,"We Tell Ourselves Stories in Order to Live: Collected Nonfiction","Joan Didion/John Leonard",4.5,1564,2006-10-17
428,"Play It As It Lays","Joan Didion/David Thomson",3.87,23656,2005-11-15
431,"The New York Trilogy","Paul Auster/Art Spiegelman/Luc Sante",3.89,43200,2006-03-28
432,"City of Glass (The New York Trilogy #1)","Paul Auster",3.79,12410,1987-04-07
434,"Ghosts (The New York Trilogy #2)","Paul Auster",3.64,3672,1987-07-07
435,"The Locked Room (The New York Trilogy #3)","Paul Auster",3.89,2998,1986-11-01
444,"Pyramids of Montauk: Explorations in Consciousness","Peter Moon/Preston B. Nichols/Nina Helms",3.89,74,1995-01-01
446,"The Brooklyn Follies","Paul Auster",3.84,17977,2006-10-17
447,"Moon Palace","Paul Auster",3.94,16099,1990-04-01
453,"The Music of Chance","Paul Auster",3.9,361,1991-12-01
454,"Travels in the Scriptorium","Paul Auster",3.23,6688,2007-01-23
456,Leviathan,"Paul Auster",3.96,11744,1993-09-01
463,"The Red Notebook: True Stories","Paul Auster",3.77,2390,2002-06-17
466,"Timbuktu / Leviathan / Moon Palace","Paul Auster",4.38,21,2002-11-07
475,"Collapse: How Societies Choose to Fail or Succeed","Jared Diamond",3.93,52522,2005-12-27
476,"The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel","Stephen Leeb/Glen C. Strathy",3.4,213,2006-02-01
477,"Collapse of Complex Societies","Joseph A. Tainter",4.15,719,1990-03-29
478,"Bowling Alone: The Collapse and Revival of American Community","Robert D. Putnam",3.8,4762,2001-08-07
481,"The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom","Philip K. Howard",3.91,62,2002-01-29
484,"Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America","Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco",4.39,278,1998-09-17
493,"My Inventions","Nikola Tesla",4.01,2862,2006-05-17
494,"Wizard: The Life and Times of Nikola Tesla: Biography of a Genius","Marc J. Seifer/William H. Terbo",3.78,2829,2001-02-01
497,"Nikola Tesla: A Spark of Genius","Carol Dommermuth-Costa",3.93,105,1994-10-01
498,"Tesla Papers","Nikola Tesla/David Hatcher Childress",4.13,102,2000-12-01
511,"Boys of Summer","Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye",3.77,478,2006-06-27
515,"Programming Ruby: The Pragmatic Programmers' Guide","Dave Thomas/Chad Fowler/Andy Hunt",4.03,1577,2004-10-11
523,"Golding's Lord of the Flies (Cliffs Notes)","Maureen Kelly/CliffsNotes/William Golding",3.95,73,2000-06-13
524,"Lord of the Flies","William Golding",3.68,408,2005-10-11
531,"A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War","Victor Davis Hanson",4.11,1693,2006-09-12
534,"We Were Not Like Other People","Ephraim Sevela/Antonina W. Bouis",4.14,1,1989-01-01
537,"The Lovely Bones","Alice Sebold",3.81,6485,2003-06-01
538,"The Lovely Bones","Alice Sebold",3.81,367,2004-04-01
539,"Lovely in Her Bones (Elizabeth MacPherson #2)","Sharyn McCrumb",3.8,1371,1990-05-13
565,"The Zen of CSS Design: Visual Enlightenment for the Web","Dave Shea/Molly E. Holzschlag",3.98,793,2005-02-17
570,"HTML XHTML and CSS (Visual Quickstart Guide)","Elizabeth Castro",3.8,549,2006-08-01
576,"1000 Record Covers","Michael Ochs/Patrick Javault/Ulrike Wasel",3.85,288,2005-05-15
597,"Killing Yourself to Live: 85% of a True Story","Chuck Klosterman",3.81,26381,2006-06-13
599,"Sex Drugs and Cocoa Puffs: A Low Culture Manifesto","Chuck Klosterman",3.73,62089,2004-07-02
619,"Vice (V #8)","Jane Feather",3.51,474,1996-05-02
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus #1)","Robert M. Pirsig",3.77,166046,2006-04-25
639,"Once Upon a Cool Motorcycle Dude","Kevin O'Malley/Carol Heyer/Scott Goto",4.08,1773,2005-04-01
642,"Guidebook to Zen and the Art of Motorcycle Maintenance","Ronald L. DiSanto/Thomas J. Steele",3.72,286,1990-11-19
643,"Motorcycle Basics Techbook","John Harold Haynes",3.85,40,2002-07-05
650,"LOGO Lounge: 2 000 International Identities by Leading Designers","Catharine M. Fishel/Bill Gardner",3.93,27,2004-09-01
655,"The Death of Ivan Ilych And Other Stories","Leo Tolstoy/Hugh McLean",4.11,7300,2003-04-01
656,"War and Peace","Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude",4.11,211671,1998-06-25
658,"The Kingdom of God Is Within You","Leo Tolstoy/Constance Garnett",4.13,2403,2006-09-08
662,"Atlas Shrugged","Ayn Rand/Leonard Peikoff",3.69,322483,1999-08-01
663,"For the New Intellectual: The Philosophy of Ayn Rand","Ayn Rand",3.68,2750,1963-12-01
664,"The Fountainhead","Ayn Rand",3.87,1886,2005-04-26
665,"The Virtue of Selfishness: A New Concept of Egoism","Ayn Rand/Nathaniel Branden",3.51,11462,1964-11-01
667,Anthem,"Ayn Rand",3.63,110952,1999-12-01
668,"We the Living","Ayn Rand/Leonard Peikoff",3.91,23199,1996-01-01
669,"Capitalism: The Unknown Ideal","Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen",3.88,3501,1986-07-15
670,"Letters of Ayn Rand","Ayn Rand/Michael S. Berliner/Leonard Peikoff",3.96,18,1997-02-01
672,"Sailing for Dummies","J.J. Isler/Peter Isler",3.95,150,2006-06-01
675,"Sailing from Byzantium: How a Lost Empire Shaped the World","Colin Wells",3.88,646,2006-07-25
676,"Sailing Alone Around the Room: New and Selected Poems","Billy Collins",4.23,12180,2002-09-17
678,"The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories","Christopher Caswell",3.62,51,2004-04-01
681,"Natural Cures ""They"" Don't Want You to Know about","Kevin Trudeau",3.09,1601,2004-01-01
685,"The Natural","Bernard Malamud/Kevin Baker",3.63,8854,2003-07-07
698,"Digging to America","Anne Tyler",3.55,17155,2006-05-02
700,"Rereading America: Cultural Contexts for Critical Thinking and Writing","Gary Colombo/Bonnie Lisle",3.77,44,2004-01-21
702,"Modern Latin America","Thomas E. Skidmore/Peter H. Smith",3.59,234,2004-10-07
703,"The Plot Against America","Philip Roth",3.77,33321,2005-09-27
707,"Naked Pictures of Famous People","Jon Stewart",3.59,8703,1999-09-22
759,"Collected Stories","Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein",4.19,6375,2008-05-13
762,"Crónica de una muerte anunciada","Gabriel García Márquez",3.97,7888,2003-10-14
763,"Cien años de soledad","Gabriel García Márquez",4.07,130,2006-02-07
764,"Del amor y otros demonios","Gabriel García Márquez",3.98,4508,2006-02-07
765,"Living to Tell the Tale","Gabriel García Márquez/Edith Grossman",3.99,397,2004-10-12
766,"Memoria de mis putas tristes","Gabriel García Márquez",3.6,5856,2004-10-19
771,"The Elegant Universe: Superstrings Hidden Dimensions and the Quest for the Ultimate Theory","Brian Greene",4.07,32569,2004-09-02
775,"Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman","Upasika Kee Nanayon/Thanissaro Bhikkhu",4.29,37,2005-05-15
787,"The Mini Rough Guide to London","Rob Humphreys/Beth Chaplin/Rebecca Morrill",3.75,1,2006-04-01
793,"Best of London (Lonely Planet Best Of)","Lonely Planet/Sarah Johnstone/Steve Fallon",3.83,11,2004-09-01
797,"Lonely Planet Londres","Lonely Planet/Sarah Johnstone/Tom Masters",4.03,0,2006-05-01
799,"Out to Eat London 2002 (Lonely Planet Out to Eat)","Lonely Planet/Mark Honan",0.0,0,2001-09-01
815,"Three Nights in August: Strategy Heartbreak and Joy Inside the Mind of a Manager","H.G. Bissinger",3.88,6870,2006-04-04
816,Cryptonomicon,"Neal Stephenson",4.25,83184,2002-11-01
821,"Le Réseau Kinakuta (Cryptonomicon #2)","Neal Stephenson",4.1,5,2001-03-31
822,"The Confusion (The Baroque Cycle #2)","Neal Stephenson",4.26,19320,2005-06-14
823,"Quicksilver (The Baroque Cycle #1)","Neal Stephenson",3.93,30872,2004-09-21
824,"The Cobweb","Neal Stephenson/J. Frederick George",3.61,2465,2005-05-31
826,"The Big U","Neal Stephenson",3.25,4657,2001-02-06
827,"The Diamond Age: Or A Young Lady's Illustrated Primer","Neal Stephenson/Pedro Jorge Romero",4.19,71042,2000-05-02
828,Interface,"Neal Stephenson/George F. Jewsbury/Stephen Bury",3.68,4731,2005-05-31
829,"Odalisque (The Baroque Cycle Vol. 1 Book 3)","Neal Stephenson",4.2,1567,2006-03-28
830,"Snow Crash","Neal Stephenson/Guy Abadia",4.03,188100,2000-08-02
834,"Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments Volume II: The Endgame","Dan Harrington/Bill Robertie",4.16,1474,2005-06-01
835,"Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments Volume I: Strategic Play","Dan Harrington/Bill Robertie",4.24,1929,2004-12-01
840,"The Design of Everyday Things","Donald A. Norman",4.17,18602,2002-09-19
841,"Emotional Design: Why We Love (or Hate) Everyday Things","Donald A. Norman",3.95,3702,2005-05-11
842,"The Psychology of Everyday Things","Donald A. Norman",4.17,265,1988-06-13
848,"No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson","Alex C. Jones/Diane M. Hanson/Stephen K. Ray",4.27,51,2006-04-30
864,"The Alchemist","Paulo Coelho/Alan R. Clarke/James Noel Smith",3.86,920,2006-05-02
865,"The Alchemist","Paulo Coelho/Alan R. Clarke/Özdemir İnce",3.86,1631221,1993-05-01
866,"Fullmetal Alchemist Vol. 9 (Fullmetal Alchemist #9)","Hiromu Arakawa/Akira Watanabe",4.57,9013,2006-09-19
868,"Fullmetal Alchemist Vol. 3 (Fullmetal Alchemist #3)","Hiromu Arakawa/Akira Watanabe",4.56,16666,2005-09-13
